,game_id,play_id,home_team,away_team,game_date,down,ydstogo,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,yardline_100,posteam_timeouts_remaining,score_differential,posteam,defteam,posteam_timeouts_remaining,interception,fumble_lost
0,2020_10_BUF_ARI,4255,ARI,BUF,11/15/2020,1.0,10,271.0,271.0,271.0,4,59.0,2.0,3.0,ARI,BUF,2.0,0.0,0.0
1,2020_10_BUF_ARI,4277,ARI,BUF,11/15/2020,2.0,10,266.0,266.0,266.0,4,59.0,2.0,3.0,ARI,BUF,2.0,0.0,0.0
2,2020_10_BUF_ARI,4299,ARI,BUF,11/15/2020,3.0,10,263.0,263.0,263.0,4,59.0,2.0,3.0,ARI,BUF,2.0,0.0,0.0
3,2020_10_BUF_ARI,4318,ARI,BUF,11/15/2020,4.0,16,223.0,223.0,223.0,4,65.0,2.0,3.0,ARI,BUF,2.0,0.0,0.0
4,2020_10_BUF_ARI,4343,ARI,BUF,11/15/2020,1.0,10,215.0,215.0,215.0,4,78.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
5,2020_10_BUF_ARI,4371,ARI,BUF,11/15/2020,2.0,4,185.0,185.0,185.0,4,72.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
6,2020_10_BUF_ARI,4393,ARI,BUF,11/15/2020,3.0,4,177.0,177.0,177.0,4,72.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
7,2020_10_BUF_ARI,4422,ARI,BUF,11/15/2020,1.0,10,173.0,173.0,173.0,4,68.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
8,2020_10_BUF_ARI,4444,ARI,BUF,11/15/2020,2.0,10,165.0,165.0,165.0,4,68.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
9,2020_10_BUF_ARI,4465,ARI,BUF,11/15/2020,1.0,10,136.0,136.0,136.0,4,56.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
10,2020_10_BUF_ARI,4506,ARI,BUF,11/15/2020,2.0,5,120.0,120.0,120.0,4,51.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
11,2020_10_BUF_ARI,4528,ARI,BUF,11/15/2020,3.0,5,117.0,117.0,117.0,4,51.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
12,2020_10_BUF_ARI,4557,ARI,BUF,11/15/2020,1.0,10,112.0,112.0,112.0,4,44.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
13,2020_10_BUF_ARI,4581,ARI,BUF,11/15/2020,2.0,13,82.0,82.0,82.0,4,47.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
14,2020_10_BUF_ARI,4605,ARI,BUF,11/15/2020,1.0,10,49.0,49.0,49.0,4,30.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
15,2020_10_BUF_ARI,4645,ARI,BUF,11/15/2020,1.0,5,43.0,43.0,43.0,4,25.0,3.0,-3.0,BUF,ARI,3.0,0.0,0.0
17,2020_10_BUF_ARI,4669,ARI,BUF,11/15/2020,2.0,1,39.0,39.0,39.0,4,21.0,2.0,-3.0,BUF,ARI,2.0,0.0,0.0
20,2020_10_BUF_ARI,4732,ARI,BUF,11/15/2020,1.0,10,34.0,34.0,34.0,4,75.0,2.0,-4.0,ARI,BUF,2.0,0.0,0.0
22,2020_10_BUF_ARI,4773,ARI,BUF,11/15/2020,1.0,10,27.0,27.0,27.0,4,61.0,1.0,-4.0,ARI,BUF,1.0,0.0,0.0
24,2020_10_BUF_ARI,4814,ARI,BUF,11/15/2020,2.0,1,21.0,21.0,21.0,4,52.0,0.0,-4.0,ARI,BUF,0.0,0.0,0.0
26,2020_10_BUF_ARI,4860,ARI,BUF,11/15/2020,1.0,10,11.0,11.0,11.0,4,43.0,0.0,-4.0,ARI,BUF,0.0,0.0,0.0
32,2020_10_CIN_PIT,61,PIT,CIN,11/15/2020,1.0,10,896.0,1796.0,3596.0,1,85.0,3.0,0.0,PIT,CIN,3.0,0.0,0.0
33,2020_10_CIN_PIT,83,PIT,CIN,11/15/2020,2.0,10,893.0,1793.0,3593.0,1,85.0,3.0,0.0,PIT,CIN,3.0,0.0,0.0
34,2020_10_CIN_PIT,112,PIT,CIN,11/15/2020,1.0,10,867.0,1767.0,3567.0,1,72.0,3.0,0.0,PIT,CIN,3.0,0.0,0.0
35,2020_10_CIN_PIT,133,PIT,CIN,11/15/2020,2.0,5,826.0,1726.0,3526.0,1,67.0,3.0,0.0,PIT,CIN,3.0,0.0,0.0
36,2020_10_CIN_PIT,155,PIT,CIN,11/15/2020,3.0,5,822.0,1722.0,3522.0,1,67.0,3.0,0.0,PIT,CIN,3.0,0.0,0.0
